Предлог,Падеж,Варианты,N,Хаген,Т. Ф. Ефремова,Ляшевская-Шаров,Викисловарь,МАС,Opencorpora,ХАНКО,НКРЯ,SemSyn,Рогожникова,Шведова,Иомдин,Комментарий
по мере,Род,,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,+,+,+,+,
по милости,Род,,3,,-,-,Устойч. сочетание,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
помимо,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
по миновании,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
по мнению,Род,,2,,-,-,-,-,,-,+,,в составе вводного сочетания,-,-,
по-над,Твор,,9,+,+,+,+,+,+,,+,,,+,+,
по направлению,Род,,4,+,+,-,-,-,,+,-,,+,-,-,"НКРЯ: омонимия снята, предлог + сущ. "
по направлению к,Дат,по направлению ко,7,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",-,,+,-,+,+,+,-,"НКРЯ: омонимия снята, предлог + сущ. + предлог"
по наущению,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
по неимению,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
по образу,Род,,2,,-,-,-,-,,+,+,,-,-,-,
по образу и подобию,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,
по образцу,Род,,1,-,-,-,-,-,,-,-,-,-,+,-,
поодаль от,Род,поодаль ото,6,+,+,-,-,Предложное сочетание с предлогом ОТ,,+,+,,+,-,-,Вики: поодаль - наречие
по окончании,Род,,2,,-,-,-,-,,-,+,+,-,-,-,
по отношению к,Дат,по отношению ко,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,-,+,+,+,+,"НКРЯ: омонимия снята, предлог + сущ. + предлог"
поперёд,Род,поперед,3,+,-,-,+,-,-,,+,,,-,-,
поперёк,Род,поперек,8,+,+,+,"Нареч., также предлог",+,+,+,+,,,-,-,
по поводу,Род,,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,+,+,+,+,
по-под,Твор,,2,+,-,-,+,-,-,,-,,,-,-,"НКРЯ: омонимия не снята, предлог + предлог, м.б. недочёт лемматизации
Один из источников контекстов – параграф об употреблении двойных предлогов (В.Ф. Барашков «А как у вас говорят?» (1986)"
по поручению,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
по праву,Род,,5,+,+,-,-,Устойч. сочетание,,+,-,,+,-,-,"МАС: наречный + предложный оборот
НКРЯ: омонимия снята, наречный оборот"
по предположениям,Род,,1,,-,-,-,-,,-,-,,+,-,-,"НКРЯ: омонимия не снята, предлог + сущ."
по прибытии,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
по примеру,Род,,4,+,+,-,-,-,,+,+,,-,-,-,
по принципу,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,
по причине,Род,,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,+,+,+,-,
по прошествии,Род,,7,+,+,-,Устойч. сочетание,-,,+,+,+,+,-,-,
по просьбе,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
по прочтении,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
по пути,Род,,7,+,+,-,Устойч. сочетание,Устойч. сочетание,,+,-,+,+,-,-,"МАС: наречный + предложный оборот ?
НКРЯ: омонимия снята, наречный оборот"
по пути к,Дат,по пути ко,1,,-,-,-,-,,+,-,,-,-,-,"НКРЯ: омонимия снята, наречный оборот + предлог ?"
по пути на,Вин,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, наречный оборот + предлог ?"
порядка,Род,,5,+,-,-,+,-,Сущ.,Сущ.,+,,,+,+,
по сведениям,Род,,2,,-,-,-,-,,-,+,,в составе вводного сочетания,-,-,
посверху,Род,,1,,-,-,+,-,-,,Нареч.,,,-,-,"НКРЯ: омонимия не снята, всего 1 контекст, предложное употребление"
посереди,Род,,6,+,+,-,+,+,+,,+,,,-,-,
посередине,Род,,9,+,+,+,+,+,+,,+,,,+,+,
посерёдке,Род,посередке,2,+,-,adv,+,-,Нареч.,,Нареч.,,,-,-,НКРЯ: омонимия не снята в контекстах с предложным употреблением
посередь,Род,,6,+,-,+,+,+,+,,+,,,-,-,
после,Род,,10,+,+,+,"Наречие, также предлог",+,+,+,+,,,+,+,
по случаю,Род,,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,,+,+,-,"МАС: предложный оборот
НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»"
по совету,Род,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ."
по согласованию с,Твор,по согласованию со,1,,-,-,-,-,,-,+,,-,-,-,
по сравнении с,Твор,по сравнении со,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия не снята, предлог + сущ. + предлог, м.б. неучтённый вариант"
по сравнению с,Твор,по сравнению со,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,+,МАС: наречный + предложный оборот
посреди,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
посредине,Род,,7,+,+,+,+,+,+,,+,,,-,-,
посредством,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
по стопам,Род,,3,+,+,-,-,Устойч. сочетание,,-,-,,-,-,-,"МАС: предложный оборот ?
Вики: указано уст. сочетание по чьим-либо стопам
НКРЯ: омонимия снята, предлог + сущ."
по существу,Род,,4,,-,-,Устойч. сочетание,Устойч. сочет. в знач. вводн. сл.,,+,-,,сущ. с предлогом,-,-,"НКРЯ: омонимия снята, наречный оборот"
по уполномочию,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
по ходу,Род,,2,,-,-,"Устойчивое сочетание, исп. в кач-ве предлога",-,,-,+,,-,-,-,
по части,Род,,8,+,+,-,-,Устойч. сочетание,,+,+,+,+,+,-,МАС: предложный оборот
превыше,Род,,5,+,+,+,Нареч.,Нареч.,Нареч.,,+,,,-,+,
преж,Род,,2,,-,-,+,-,-,,+,,,-,-,
прежде,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
при,Предл,,10,+,+,+,+,+,+,+,+,,,+,+,
при всём,Предл,"при всем
при всей
при всех",3,+,+,-,-,-,,-,-,,+,-,-,"НКРЯ: омонимия снята, предлог + мест. прил."
при жизни,Род,,1,,-,-,-,-,,-,+,-,-,-,-,НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
применительно к,Дат,применительно ко,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,,+,+,-, 
при помощи,Род,,10,+,+,-,"Устойчивое сочетание (предлог), исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,+,+,+,+,
при посредстве,Род,,9,+,+,-,Устойч. сочетание,Сочетание в знач. предлога,,+,+,+,+,+,-,
при условии,Род,,6,+,+,-,"Устойчивое сочетание, исп. в кач-ве союза",-,,+,+,,-,+,-,
про,Вин,,10,+,+,+,+,+,+,+,+,,,+,+,
пройдя,Вин,,1,-,-,-,-,-,-,-,-,-,,+,-,
промеж,Род,,8,+,+,+,+,+,+,,+,,,-,+,
промежду,Род,промеж ?,7,+,+,-,+,+,+,,+,,,-,+,
против,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
противно,Дат,,6,+,+,-,+,+,+,,+,,,-,-,Ханко: 1 контекст
противу,Род,,5,,-,+,+,+,+,,+,,,-,-,
путём,Род,путем,8,+,+,+,+,+,+,+,+,,,-,-,
ради,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
рядом с,Твор,рядом со,9,+,+,-,"Устойчивое сочетание (предлог), исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,+,+,+,-,
с,"Род, Твор",со,10,+,+,+,+,+,+,+,+,,,+,+,
сбоку,Род,,4,+,-,-,Нареч.,+,-,-,+,,,+,-,
сбоку от,Род,сбоку ото,5,+,+,-,-,-,,+,+,,+,-,-,
с ведома,Род,,6,+,+,-,"Устойч. сочетание, исп. в кач-ве именной группы",-,,+,+,,+,-,-,Вики: указан в категории Русские предлоги
сверх,Род,,9,+,+,+,+,+,+,,+,,,+,+,
сверху,Род,,5,+,+,-,"Наречие, также предлог",нареч.,+,Нареч.,+,,,-,-,Ханко: 3 контекста
свыше,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
середи,Род,,3,,-,?,+,+,-,,+,,,-,-,
середь,Род,,7,+,+,+,+,+,+,,+,,,-,-,
сзади,Род,,9,+,+,+,+,+,+,Нареч.,+,,,+,+,Ханко: 1 контекст
силами,Род,,3,+,+,-,-,Нареч.,-,Сущ.,+,,,-,-,
сквозь,Вин,,10,+,+,+,+,+,+,+,+,,,+,+,
сквозь призму,Род,,2,,-,-,-,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный оборот
скрозь,Вин,,1,,-,-,+,-,-,,Нареч.,,,-,-,НКРЯ: омонимия не снята в контекстах с предложным употреблением
слева от,Род,слева ото,2,,-,-,-,-,,+,+,,-,-,-,"МАС: слева – нареч.
Вики: слева – нареч."
следом за,Твор,,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Предложное сочетание,,+,+,,+,+,-,
с лёгкой руки,Род,с легкой руки,3,,-,-,Устойч. сочетание,Устойч. сочетание,,-,+,,-,-,-,МАС: наречный оборот ?
с момента,Род,,1,,-,-,-,-,,-,+,,-,-,-,
смотря по,Дат,,9,+,+,-,Устойчивое сочетание,Устойч. сочетание,,+,+,+,+,+,-,"МАС: предложный оборот
Вики: указан в категории Русские предлоги"
снаружи,Род,,5,+,+,-,Нареч.,Нареч.,+,Нареч.,+,,,-,+,Ханко: 1 контекст
с начала,Род,,1,,-,-,-,-,,-,+,,-,-,-,
с началом,Род,,1,,-,-,-,-,,-,+,,-,-,-,
снизу,Род,,5,+,+,-,+,Нареч.,+,Нареч.,+,,,-,-,Ханко: 2 контекста
совместно с,Твор,совместно со,8,+,+,-,-,Сочетание с нареч.,,+,+,+,+,+,-,Вики: совместно – нареч.
со всеми онёрами,Род,со всеми онерами,3,,-,-,Устойчивое сочетание,Устойч. сочетание,,-,-,+,-,-,-,"МАС: наречный оборот
НКРЯ: омонимия не снята, предлог + мест. прил. + сущ."
согласно,Дат,,10,+,+,+,+,+,+,+,+,,,+,+,
согласно с,Твор,согласно со,8,+,+,-,-,Сочетание в знач. предлога,,+,+,+,+,+,-,
сообразно,Дат,,8,+,+,+,Нареч.,+,+,,+,,,+,+,
сообразно с,Твор,сообразно со,8,+,+,-,-,Сочетание в знач. предлога,,+,+,+,+,+,-,
соответственно,Дат,,7,+,+,+,Нареч.,+,+,Нареч.,+,,,+,-,Ханко: только контексты с нареч.
соответственно с,Твор,соответственно со,8,+,+,-,-,Сочетание в знач. предлога,,+,+,+,+,+,-,
соразмерно,Дат,,6,+,+,-,Нареч.,+,+,,+,,,+,-,
соразмерно с,Твор,соразмерно со,8,+,+,-,-,Сочетание в знач. предлога,,+,+,+,+,+,-,
со слов,Род,,3,,-,-,Устойч. сочетание,Устойч. сочетание,,-,+,,-,-,-,МАС: предложный + наречный оборот ?
со ссылкой на,Вин,,1,,-,-,-,-,,-,-,+,-,-,-,"НКРЯ: омонимия снята, предлог + сущ. + предлог"
со стороны,Род,,10,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,+,МАС: предложный оборот
спереди,Род,,6,+,+,-,Нареч.,+,+,,+,,,-,+,
с подачи,Род,,2,,-,-,Устойч. сочетание,-,,-,+,,-,-,-,
с помощью,Род,,10,+,+,-,"Устойчивое сочетание (предлог), исп. в кач-ве предлога",Сочетание в знач. предлога,,+,+,+,+,+,+,
справа от,Род,справа ото,2,,-,-,-,-,,+,+,,-,-,-,"МАС: справа – нареч.
Вики: справа – нареч."
с прицелом на,Вин,,1,,-,-," Устойч. сочетание, исп. в кач-ве предлога",-,,-,-,,-,-,-,"НКРЯ: омонимия снята, предлог + сущ. + предлог"
спустя,Вин,,10,+,+,+,+,+,+,+,+,,,+,+,
сравнительно с,Твор,сравнительно со,8,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,,+,+,-,МАС: предложный оборот
среди,Род,средь,10,+,+,+,+,+,+,+,+,,,+,+,
сродни,Дат,,4,+,-,+,"Нареч., также предлог",Нареч.,+,,+,,,-,-,
с точки зрения,Род,,5,,-,-," Устойч. сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,-,-,-,"МАС: предложный оборот
НКРЯ: указан среди вводных оборотов с пометой «Также может выступать в функции предлога»"
судя по,Дат,,9,+,+,-,"Устойчивое сочетание (предлог), исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,-,МАС: предложный оборот
супротив,Род,,7,+,+,+,+,+,+,,+,,,-,-,
с учётом,Род,с учетом,4,,+,-,-,-,,+,+,,+,-,-,
с целью,Род,,9,+,+,-,"Устойчивое сочетание, исп. в кач-ве предлога",Устойч. сочетание,,+,+,+,+,+,-,МАС: предложный оборот
считая,Вин,,3,+,-,-,-,-,-,-,+,-,,+,-,
типа,Род,,5,+,-,+,Частица,-,+,Сущ.,+,,,+,-,
у,Род,,10,+,+,+,+,+,+,+,+,,,+,+,
у ворот,Род,,3,,-,-,Устойч. сочетание,Устойч. сочетание,,-,+,-,-,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
МАС: предложный оборот ?"
у кормила,Род,,2,,-,-,-,? Устойч. сочетание,,-,+,-,-,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
МАС: (быть/стоять) у кормила правления/власти"
у ног,Род,,2,,-,-,-,? Устойч. сочетание,,-,+,-,-,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
МАС: быть у ног (чьих)"
у руля,Род,,1,,-,-,-,-,,-,+,-,-,-,-,"НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
Вики: указано уст. сочетание быть у руля"
у стен,Род,,1,,-,-,-,-,,-,+,-,-,-,-,НКРЯ: приведён в списке наречных оборотов с примечанием «Также может выступать в функции предлога»
через,Вин,"черезо
чрез",10,+,+,+,+,+,+,+,+,,,+,+,
через посредство,Род,,5,,-,-,Устойч. сочетание,Сочетание в знач. предлога,,+,+,,-,+,-,
что до,Род,,5,+,+,-,-,Сочетание с предлогом,,+,-,,+,-,-,"НКРЯ: омонимия снята, союз + предлог"
