phrase,host,prep,dependant,dependant_case,dependant_lemma,dependant_num,dependant_pos,host_lemma,host_pos,label,corpus
проживающих в центральной и южной частях Японии,проживающих,в,частях,loct,часть,plur,NOUN,проживать,PRTF,локатив,taiga
сообщили в пресс-службе УМВД по Тюменской области,сообщили,в,пресс-службе,loct,пресс-служба,sing,NOUN,сообщить,VERB,сурсив,taiga
улице в Петербурге,улице,в,Петербурге,loct,петербург,sing,NOUN,улица,NOUN,локатив,taiga
Собирать в Санкт-Петербурге,Собирать,в,Санкт-Петербурге,loct,санкт-петербург,sing,NOUN,собирать,INFN,локатив,taiga
содержание в воздухе,содержание,в,воздухе,loct,воздух,sing,NOUN,содержание,NOUN,локатив,taiga
в YEAR году произведен,произведен,в,году,loct,год,sing,NOUN,произвести,PRTS,темпоратив,taiga
в числе пострадавших оказался,оказался,в,числе,loct,число,sing,NOUN,оказаться,VERB,квалификатив,taiga
обвиняемым в Храме Христа Спасителя,обвиняемым,в,Храме,loct,храм,sing,NOUN,обвинять,PRTF,локатив,taiga
проживающую в общежитии,проживающую,в,общежитии,loct,общежитие,sing,NOUN,проживать,PRTF,локатив,taiga
принимался в YEAR году,принимался,в,году,loct,год,sing,NOUN,приниматься,VERB,темпоратив,taiga
похоронен в семейном захоронении,похоронен,в,захоронении,loct,захоронение,sing,NOUN,похоронный,ADJS,локатив,taiga
поведение в матче NUM финала Лиги чемпионов,поведение,в,матче,loct,матч,sing,NOUN,поведение,NOUN,ситуатив,taiga
сообщается в официальном блоге компании Google,сообщается,в,блоге,loct,блог,sing,NOUN,сообщаться,VERB,сурсив,taiga
заканчивается в апреле YEAR года»,заканчивается,в,апреле,loct,апрель,sing,NOUN,заканчиваться,VERB,темпоратив,taiga
источник в конгрессе США,источник,в,конгрессе,loct,конгресс,sing,NOUN,источник,NOUN,сурсив,taiga
рассказали в пресс-службе,рассказали,в,пресс-службе,loct,пресс-служба,sing,NOUN,рассказать,VERB,сурсив,taiga
получил в YEAR году,получил,в,году,loct,год,sing,NOUN,получить,VERB,темпоратив,taiga
в храме планируется,планируется,в,храме,loct,храм,sing,NOUN,планироваться,VERB,локатив,taiga
состоится в Кунцевском суде,состоится,в,суде,loct,суд,sing,NOUN,состояться,VERB,локатив,taiga
уточнили в ведомстве,уточнили,в,ведомстве,loct,ведомство,sing,NOUN,уточнить,VERB,сурсив,taiga
в YEAR году пришло,пришло,в,году,loct,год,sing,NOUN,пришлый,ADJS,темпоратив,taiga
осуществлять в прежнем режиме - ежедневно,осуществлять,в,режиме,loct,режим,sing,NOUN,осуществлять,INFN,квалификатив,taiga
рассказали в пресс-службе регионального ГУ МВД,рассказали,в,пресс-службе,loct,пресс-служба,sing,NOUN,рассказать,VERB,сурсив,taiga
находился в NUM километрах от аэровокзала,находился,в,километрах,loct,километр,plur,NOUN,находиться,VERB,локатив,taiga
сети в своих финансовых отчетах,сети,в,отчетах,loct,отчёт,plur,NOUN,сеть,NOUN,тематив,taiga
журналист в письме,журналист,в,письме,loct,письмо,sing,NOUN,журналист,NOUN,сурсив,taiga
отмечается в сообщении,отмечается,в,сообщении,loct,сообщение,sing,NOUN,отмечаться,VERB,сурсив,taiga
первое в этом году,первое,в,году,loct,год,sing,NOUN,первое,NOUN,темпоратив,taiga
десятков в городе,десятков,в,городе,loct,город,sing,NOUN,десяток,NOUN,локатив,taiga
говорится в сообщении,говорится,в,сообщении,loct,сообщение,sing,NOUN,говориться,VERB,сурсив,taiga
рассказывают в пресс-службе ГУВД,рассказывают,в,пресс-службе,loct,пресс-служба,sing,NOUN,рассказывать,VERB,сурсив,taiga
в которой участвовали,участвовали,в,которой,loct,который,sing,ADJF,участвовать,VERB,ситуатив,taiga
проживает в Нью-Йорке ( NUM ),проживает,в,Нью-Йорке,loct,нью-йорк,sing,NOUN,проживать,VERB,локатив,taiga
в выдаче компьютера отказали,отказали,в,выдаче,loct,выдача,sing,NOUN,отказать,VERB,тематив,taiga
"обвиняется в "" незаконном участии в предпринимательской деятельности """,обвиняется,в,участии,loct,участие,sing,NOUN,обвиняться,VERB,тематив,taiga
в комплексе создан,создан,в,комплексе,loct,комплекс,sing,NOUN,создать,PRTS,локатив,taiga
сыграют только в феврале,сыграют,в,феврале,loct,февраль,sing,NOUN,сыграть,VERB,темпоратив,taiga
в обучении обращаться,обращаться,в,обучении,loct,обучение,sing,NOUN,обращаться,INFN,тематив,taiga
произошло еще в YEAR году,произошло,в,году,loct,год,sing,NOUN,произойти,VERB,темпоратив,taiga
содержащихся в ней,содержащихся,в,ней,loct,она,sing,NPRO,содержаться,PRTF,локатив,taiga
Популярный в странах бывшего СССР сервис,Популярный,в,странах,loct,страна,plur,NOUN,популярный,ADJF,локатив,taiga
в процентном отношении возрос,возрос,в,отношении,loct,отношение,sing,NOUN,возрасти,VERB,квалификатив,taiga
говорится в заявлении МИД Украины,говорится,в,заявлении,loct,заявление,sing,NOUN,говориться,VERB,сурсив,taiga
в ноябре станет,станет,в,ноябре,loct,ноябрь,sing,NOUN,стать,VERB,темпоратив,taiga
произошла в кантоне Вале во вторник вечером,произошла,в,кантоне,loct,кантон,sing,NOUN,произойти,VERB,локатив,taiga
рассказали в пресс-службе надзорного органа,рассказали,в,пресс-службе,loct,пресс-служба,sing,NOUN,рассказать,VERB,сурсив,taiga
в автобусе было,было,в,автобусе,loct,автобус,sing,NOUN,быть,VERB,локатив,taiga
документ в первом чтении,документ,в,чтении,loct,чтение,sing,NOUN,документ,NOUN,сурсив,taiga
подозреваются в участии в преступной группировке,подозреваются,в,участии,loct,участие,sing,NOUN,подозреваться,VERB,тематив,taiga
в учениях заявлены,заявлены,в,учениях,loct,учение,plur,NOUN,заявить,PRTS,тематив,taiga
роста в комсомоле,роста,в,комсомоле,loct,комсомол,sing,NOUN,рост,NOUN,квалификатив,taiga
помощь в других медицинских учреждениях,помощь,в,учреждениях,loct,учреждение,plur,NOUN,помощь,NOUN,локатив,taiga
занимает в этом списке,занимает,в,списке,loct,список,sing,NOUN,занимать,VERB,локатив,taiga
высказал в Санкт-Петербурге,высказал,в,Санкт-Петербурге,loct,санкт-петербург,sing,NOUN,высказать,VERB,локатив,taiga
"рассказали в пресс-службе "" Новой газеты """,рассказали,в,пресс-службе,loct,пресс-служба,sing,NOUN,рассказать,VERB,сурсив,taiga
представителя в Европейском суде по правам человека,представителя,в,суде,loct,суд,sing,NOUN,представитель,NOUN,локатив,taiga
выступать в каких-то блогах,выступать,в,блогах,loct,блог,plur,NOUN,выступать,INFN,локатив,taiga
велась в магазине пожилой петербурженки в доме NUM по улице Мира,велась,в,магазине,loct,магазин,sing,NOUN,вестись,VERB,локатив,taiga
Подозреваемый в изнасилованиях,Подозреваемый,в,изнасилованиях,loct,изнасилование,plur,NOUN,подозревать,PRTF,тематив,taiga
в квартире обезврежена,обезврежена,в,квартире,loct,квартира,sing,NOUN,обезвредить,PRTS,локатив,taiga
здания в архивах,здания,в,архивах,loct,архив,plur,NOUN,здание,NOUN,локатив,taiga
стало в автобусе на северо-западе Москвы,стало,в,автобусе,loct,автобус,sing,NOUN,стать,VERB,локатив,taiga
сданного в октябре YEAR года,сданного,в,октябре,loct,октябрь,sing,NOUN,сдать,PRTF,темпоратив,taiga
происходила в YEAR году,происходила,в,году,loct,год,sing,NOUN,происходить,VERB,темпоратив,taiga
начался в YEAR году,начался,в,году,loct,год,sing,NOUN,начаться,VERB,темпоратив,taiga
покупают в интернете россияне»,покупают,в,интернете,loct,интернет,sing,NOUN,покупать,VERB,сурсив,taiga
в городе должно,должно,в,городе,loct,город,sing,NOUN,должный,ADJS,локатив,taiga
в разговоре с журналистами назвал,назвал,в,разговоре,loct,разговор,sing,NOUN,назвать,VERB,сурсив,taiga
в Петербурге разбивались,разбивались,в,Петербурге,loct,петербург,sing,NOUN,разбиваться,VERB,локатив,taiga
осмотрен в приемном покое больницы,осмотрен,в,покое,loct,покой,sing,NOUN,осмотреть,PRTS,локатив,taiga
в феврале YEAR года внесет,внесет,в,феврале,loct,февраль,sing,NOUN,внести,VERB,темпоратив,taiga
в Смольном сообщил,сообщил,в,Смольном,loct,смольный,sing,ADJF,сообщить,VERB,локатив,taiga
отсутствовал в информационном поле,отсутствовал,в,поле,loct,пол,sing,NOUN,отсутствовать,VERB,тематив,taiga
участвовавшие в YEAR году,участвовавшие,в,году,loct,год,sing,NOUN,участвовать,PRTF,темпоратив,taiga
объемы в регионе,объемы,в,регионе,loct,регион,sing,NOUN,объём,NOUN,локатив,taiga
в Петербурге и Ленобласти угнали,угнали,в,Петербурге,loct,петербург,sing,NOUN,угнать,VERB,локатив,taiga
вышли в выездной форме белого цвета,вышли,в,форме,loct,форма,sing,NOUN,выйти,VERB,объект,taiga
в Неваде проживает,проживает,в,Неваде,loct,невад,sing,NOUN,проживать,VERB,локатив,taiga
секунда в матче YEAR финала Кубка Англии с «Халл Сити»,секунда,в,матче,loct,матч,sing,NOUN,секунда,NOUN,темпоратив,taiga
в рассмотрении сослался,сослался,в,рассмотрении,loct,рассмотрение,sing,NOUN,сослаться,VERB,сурсив,taiga
шли в темноте,шли,в,темноте,loct,темнота,sing,NOUN,идти,VERB,ситуатив,taiga
рекламы в YEAR году,рекламы,в,году,loct,год,sing,NOUN,реклама,NOUN,темпоратив,taiga
в YEAR году пожаловалось,пожаловалось,в,году,loct,год,sing,NOUN,пожаловаться,VERB,темпоратив,taiga
уже в феврале собирается,собирается,в,феврале,loct,февраль,sing,NOUN,собираться,VERB,темпоратив,taiga
убеждаясь в его измене,убеждаясь,в,измене,loct,измена,sing,NOUN,убеждаться,GRND,тематив,taiga
подошли во всеоружии,подошли,в,всеоружии,loct,всеоружие,sing,NOUN,подойти,VERB,ситуатив,taiga
купаться в ней,купаться,в,ней,loct,она,sing,NPRO,купаться,INFN,локатив,taiga
занятия в школах,занятия,в,школах,loct,школа,plur,NOUN,занятие,NOUN,локатив,taiga
погибли в северо-восточном бразильском штате Баия,погибли,в,штате,loct,штат,sing,NOUN,погибнуть,VERB,локатив,taiga
председателя в Белгородской области,председателя,в,области,loct,область,sing,NOUN,председатель,NOUN,локатив,taiga
в нашем городе выступит,выступит,в,городе,loct,город,sing,NOUN,выступить,VERB,локатив,taiga
в гостевой встрече можно,можно,в,встрече,loct,встреча,sing,NOUN,можно,PRED,темпоратив,taiga
правил в Василеостровском районе,правил,в,районе,loct,район,sing,NOUN,правило,NOUN,локатив,taiga
"в Мадриде "" Зенит "" пропускает",пропускает,в,Мадриде,loct,мадрид,sing,NOUN,пропускать,VERB,локатив,taiga
пройдут в Петербурге,пройдут,в,Петербурге,loct,петербург,sing,NOUN,пройти,VERB,локатив,taiga
украденную в январе YEAR года,украденную,в,январе,loct,январь,sing,NOUN,украсть,PRTF,темпоратив,taiga
возгорания в доме № NUM по Нижегородской улице,возгорания,в,доме,loct,дом,sing,NOUN,возгорание,NOUN,локатив,taiga
размещена в восстановленных после пожара зданиях ИК - NUM,размещена,в,зданиях,loct,здание,plur,NOUN,разместить,PRTS,локатив,taiga
расположен во владении номер один по Киевскому шоссе,расположен,в,владении,loct,владение,sing,NOUN,расположить,PRTS,локатив,taiga
в Литве боятся,боятся,в,Литве,loct,литва,sing,NOUN,бояться,VERB,локатив,taiga
отмечают в пресс-службе управления Россельхознадзора по Брянской и Смоленской областям,отмечают,в,пресс-службе,loct,пресс-служба,sing,NOUN,отмечать,VERB,сурсив,taiga
в сентябре YEAR года потребовал,потребовал,в,сентябре,loct,сентябрь,sing,NOUN,потребовать,VERB,темпоратив,taiga
отказывать в проведении мероприятия,отказывать,в,проведении,loct,проведение,sing,NOUN,отказывать,INFN,тематив,taiga
во Всеволожске застрелен,застрелен,в,Всеволожске,loct,всеволожск,sing,NOUN,застрелить,PRTS,локатив,taiga
поголовье в городе,поголовье,в,городе,loct,город,sing,NOUN,поголовье,NOUN,локатив,taiga
в YEAR году предложил,предложил,в,году,loct,год,sing,NOUN,предложить,VERB,темпоратив,taiga
в решении говорится,говорится,в,решении,loct,решение,sing,NOUN,говориться,VERB,сурсив,taiga
стала и в Светогорске,стала,в,Светогорске,loct,светогорск,sing,NOUN,стать,VERB,локатив,taiga
роли в фильме «Крепкий орешек - NUM,роли,в,фильме,loct,фильм,sing,NOUN,роль,NOUN,сурсив,taiga
картина и в Кировском районе,картина,в,районе,loct,район,sing,NOUN,картина,NOUN,локатив,taiga
в YEAR году составит,составит,в,году,loct,год,sing,NOUN,составить,VERB,темпоратив,taiga
одним в самом начале так называемой русской весны,одним,в,начале,loct,начало,sing,NOUN,один,ADJF,темпоратив,taiga
еще в Центре «Антон можно,можно,в,Центре,loct,центр,sing,NOUN,можно,PRED,локатив,taiga
в Евросоюзе завершились,завершились,в,Евросоюзе,loct,евросоюз,sing,NOUN,завершиться,VERB,локатив,taiga
совершены в первых числах марта этого года,совершены,в,числах,loct,число,plur,NOUN,совершить,PRTS,темпоратив,taiga
живем в свободной стране,живем,в,стране,loct,страна,sing,NOUN,жить,VERB,локатив,taiga
в ноябре прошлого года Бхарара встретился,встретился,в,ноябре,loct,ноябрь,sing,NOUN,встретиться,VERB,темпоратив,taiga
подозревает в рейдерском захвате «Фрунзенской плодоовощной базы»,подозревает,в,захвате,loct,захват,sing,NOUN,подозревать,VERB,тематив,taiga
может в отделе полиции,может,в,отделе,loct,отдел,sing,NOUN,мочь,VERB,локатив,taiga
выручки в салоне на проспекте Славы,выручки,в,салоне,loct,салон,sing,NOUN,выручка,NOUN,локатив,taiga
в апреле подаст,подаст,в,апреле,loct,апрель,sing,NOUN,подать,VERB,темпоратив,taiga
в котором ехали,ехали,в,котором,loct,который,sing,ADJF,ехать,VERB,локатив,taiga
в котором разъясняется,разъясняется,в,котором,loct,который,sing,ADJF,разъясняться,VERB,сурсив,taiga
пересдать в текущем году,пересдать,в,году,loct,год,sing,NOUN,пересдать,INFN,темпоратив,taiga
проиграет в Грозном,проиграет,в,Грозном,loct,грозный,sing,NOUN,проиграть,VERB,локатив,taiga
движется в северо-восточном направлении,движется,в,направлении,loct,направление,sing,NOUN,двигаться,VERB,локатив,taiga
в YEAR году отдал,отдал,в,году,loct,год,sing,NOUN,отдать,VERB,темпоратив,taiga
проводим в январе YEAR года,проводим,в,январе,loct,январь,sing,NOUN,проводить,VERB,темпоратив,taiga
отправился в июле,отправился,в,июле,loct,июль,sing,NOUN,отправиться,VERB,темпоратив,taiga
произошло в Волгоградском цирке,произошло,в,цирке,loct,цирк,sing,NOUN,произойти,VERB,локатив,taiga
в нашей стране продано,продано,в,стране,loct,страна,sing,NOUN,продать,PRTS,локатив,taiga
продолжает в бельгийской столице,продолжает,в,столице,loct,столица,sing,NOUN,продолжать,VERB,локатив,taiga
убирал в жилом доме,убирал,в,доме,loct,дом,sing,NOUN,убирать,VERB,локатив,taiga
говорится в сообщении,говорится,в,сообщении,loct,сообщение,sing,NOUN,говориться,VERB,сурсив,taiga
линейки в школах Ленинского района,линейки,в,школах,loct,школа,plur,NOUN,линейка,NOUN,локатив,taiga
в факсе содержался,содержался,в,факсе,loct,факс,sing,NOUN,содержаться,VERB,сурсив,taiga
в самом медицинском учреждении людей успокоили,успокоили,в,учреждении,loct,учреждение,sing,NOUN,успокоить,VERB,локатив,taiga
жила в благополучной семье,жила,в,семье,loct,семья,sing,NOUN,жить,VERB,локатив,taiga
участвую в выборах,участвую,в,выборах,loct,выборы,plur,NOUN,участвовать,VERB,тематив,taiga
пытались в поисках инвестора,пытались,в,поисках,loct,поиск,plur,NOUN,пытаться,VERB,тематив,taiga
дней в помещениях мастерской,дней,в,помещениях,loct,помещение,plur,NOUN,день,NOUN,локатив,taiga
раненный в стычке,раненный,в,стычке,loct,стычка,sing,NOUN,ранить,PRTF,ситуатив,taiga
одним в областном центре памятника,одним,в,центре,loct,центр,sing,NOUN,один,ADJF,локатив,taiga
в договорах заключают,заключают,в,договорах,loct,договор,plur,NOUN,заключать,VERB,сурсив,taiga
подозреваемую в финансовых махинациях,подозреваемую,в,махинациях,loct,махинация,plur,NOUN,подозревать,PRTF,тематив,taiga
только в Центральном районе приняли,приняли,в,районе,loct,район,sing,NOUN,принять,VERB,локатив,taiga
в ответном письме указал,указал,в,письме,loct,письмо,sing,NOUN,указать,VERB,сурсив,taiga
работать в петербургском парламенте,работать,в,парламенте,loct,парламент,sing,NOUN,работать,INFN,локатив,taiga
шагнули в тестировании и наборе данных,шагнули,в,тестировании,loct,тестирование,sing,NOUN,шагнуть,VERB,тематив,taiga
рассказали в ведомстве,рассказали,в,ведомстве,loct,ведомство,sing,NOUN,рассказать,VERB,сурсив,taiga
создаст в Крыму,создаст,в,Крыму,loct,крым,sing,NOUN,создать,VERB,локатив,taiga
в селе Гуляйгородок Смелянского района Черкасской области Украины произошел,произошел,в,селе,loct,сель,sing,NOUN,произойти,VERB,локатив,taiga
сообщили в пресс-службе ГУ МВД России по Москве,сообщили,в,пресс-службе,loct,пресс-служба,sing,NOUN,сообщить,VERB,сурсив,taiga
состоялся в столице,состоялся,в,столице,loct,столица,sing,NOUN,состояться,VERB,локатив,taiga
в доме NUM произошел,произошел,в,доме,loct,дом,sing,NOUN,произойти,VERB,локатив,taiga
появилась в YEAR году,появилась,в,году,loct,год,sing,NOUN,появиться,VERB,темпоратив,taiga
в новом сельскохозяйственном сезоне ( начнется NUM июля YEAR года ) может,может,в,сезоне,loct,сезон,sing,NOUN,мочь,VERB,темпоратив,taiga
в квартире с матерью находилась,находилась,в,квартире,loct,квартира,sing,NOUN,находиться,VERB,локатив,taiga
«Шашлык в городе,Шашлык,в,городе,loct,город,sing,NOUN,шашлык,NOUN,локатив,taiga
обвиняемому в сбыте наркотиков,обвиняемому,в,сбыте,loct,сбыт,sing,NOUN,обвинять,PRTF,тематив,taiga
находившаяся в деревне,находившаяся,в,деревне,loct,деревня,sing,NOUN,находиться,PRTF,локатив,taiga
график в году,график,в,году,loct,год,sing,NOUN,график,NOUN,темпоратив,taiga
расположен в Адмиралтейском районе,расположен,в,районе,loct,район,sing,NOUN,расположить,PRTS,локатив,taiga
гулять в другом месте,гулять,в,месте,loct,место,sing,NOUN,гулять,INFN,локатив,taiga
в полном объеме обеспечить,обеспечить,в,объеме,loct,объём,sing,NOUN,обеспечить,INFN,квалификатив,taiga
продукции в нашей стране,продукции,в,стране,loct,страна,sing,NOUN,продукция,NOUN,локатив,taiga
подозревают в изнасиловании несовершеннолетней девочки в мае,подозревают,в,изнасиловании,loct,изнасилование,sing,NOUN,подозревать,VERB,тематив,taiga
участие в показе ее,участие,в,показе,loct,показ,sing,NOUN,участие,NOUN,тематив,taiga
в Адмиралтейском районе похитили,похитили,в,районе,loct,район,sing,NOUN,похитить,VERB,локатив,taiga
заявив в ней,заявив,в,ней,loct,она,sing,NPRO,заявить,GRND,сурсив,taiga
в суде отказался,отказался,в,суде,loct,суд,sing,NOUN,отказаться,VERB,локатив,taiga
работает в Самаре,работает,в,Самаре,loct,самар,sing,NOUN,работать,VERB,локатив,taiga
выплачено в полном объеме,выплачено,в,объеме,loct,объём,sing,NOUN,выплатить,PRTS,квалификатив,taiga
подозревают в изнасиловании и разбое,подозревают,в,изнасиловании,loct,изнасилование,sing,NOUN,подозревать,VERB,тематив,taiga
торговля в репортаже корреспондента «Фонтанки» в Финляндии,торговля,в,репортаже,loct,репортаж,sing,NOUN,торговля,NOUN,сурсив,taiga
находятся в кризисной ситуации,находятся,в,ситуации,loct,ситуация,sing,NOUN,находиться,VERB,ситуатив,taiga
находились в розыске,находились,в,розыске,loct,розыск,sing,NOUN,находиться,VERB,ситуатив,taiga
обвинил в плагиате,обвинил,в,плагиате,loct,плагиат,sing,NOUN,обвинить,VERB,ситуатив,taiga
квартиру в элитном доме,квартиру,в,доме,loct,дом,sing,NOUN,квартира,NOUN,локатив,taiga
ведущееся в Совете,ведущееся,в,Совете,loct,совет,sing,NOUN,вестись,PRTF,локатив,taiga
статья в редакции,статья,в,редакции,loct,редакция,sing,NOUN,статья,NOUN,локатив,taiga
в социальных сетях стала,стала,в,сетях,loct,сеть,plur,NOUN,стать,VERB,локатив,taiga
дети в возрасте от NUM до NUM лет,дети,в,возрасте,loct,возраст,sing,NOUN,ребёнок,NOUN,темпоратив,taiga
в столице Афганистана стали,стали,в,столице,loct,столица,sing,NOUN,стать,VERB,локатив,taiga
в YEAR - YEAR годах лишили,лишили,в,годах,loct,год,plur,NOUN,лишить,VERB,темпоратив,taiga
"отмечается в сообщении "" Яндекса """,отмечается,в,сообщении,loct,сообщение,sing,NOUN,отмечаться,VERB,сурсив,taiga
в NUM метрах от жилых домов нанесет,нанесет,в,метрах,loct,метр,plur,NOUN,нанести,VERB,локатив,taiga
говорится в сообщении,говорится,в,сообщении,loct,сообщение,sing,NOUN,говориться,VERB,сурсив,taiga
сэкономить в очередях,сэкономить,в,очередях,loct,очередь,plur,NOUN,сэкономить,INFN,локатив,taiga
побеждает в первом туре выборов президента Украины,побеждает,в,туре,loct,тур,sing,NOUN,побеждать,VERB,темпоратив,taiga
участие во втором «Марше миллионов»,участие,в,Марше,loct,марш,sing,NOUN,участие,NOUN,тематив,taiga
выборов в Азербайджане,выборов,в,Азербайджане,loct,азербайджан,sing,NOUN,выбор,NOUN,локатив,taiga
качество в спальных районах,качество,в,районах,loct,район,plur,NOUN,качество,NOUN,локатив,taiga
Содержащиеся в докладе,Содержащиеся,в,докладе,loct,доклад,sing,NOUN,содержаться,PRTF,сурсив,taiga
отдать в капитале проекта,отдать,в,капитале,loct,капиталь,sing,NOUN,отдать,INFN,сурсив,taiga
принимающие в международном учении «ФРУКУС»,принимающие,в,учении,loct,учение,sing,NOUN,принимать,PRTF,тематив,taiga
работает в штатном режиме,работает,в,режиме,loct,режим,sing,NOUN,работать,VERB,ситуатив,taiga
в декабре этого года доведена,доведена,в,декабре,loct,декабрь,sing,NOUN,довести,PRTS,темпоратив,taiga
Еще в YEAR году сообщило,сообщило,в,году,loct,год,sing,NOUN,сообщить,VERB,темпоратив,taiga
оставлять в тех же габаритах,оставлять,в,габаритах,loct,габарит,plur,NOUN,оставлять,INFN,ситуатив,taiga
дать в Новгороде и в Петрозаводске,дать,в,Новгороде,loct,новгород,sing,NOUN,дать,INFN,темпоратив,taiga
сообщили в региональном филиале,сообщили,в,филиале,loct,филиал,sing,NOUN,сообщить,VERB,сурсив,taiga
самовар в саду,самовар,в,саду,loct,сад,sing,NOUN,самовар,NOUN,локатив,taiga
работает в тестовом режиме,работает,в,режиме,loct,режим,sing,NOUN,работать,VERB,ситуатив,taiga
прибыла в рамках миссии Atlantic Resolve,прибыла,в,рамках,loct,рамка,plur,NOUN,прибыть,VERB,ситуатив,taiga
"отказано в удовлетворении поданной жалобы """,отказано,в,удовлетворении,loct,удовлетворение,sing,NOUN,отказать,PRTS,тематив,taiga
видели в отеле,видели,в,отеле,loct,отель,sing,NOUN,видеть,VERB,локатив,taiga
в выкрикиваемой фразе противопоставлялись,противопоставлялись,в,фразе,loct,фраза,sing,NOUN,противопоставляться,VERB,сурсив,taiga
помогать в разрешении ситуации с Виктором Бутом,помогать,в,разрешении,loct,разрешение,sing,NOUN,помогать,INFN,тематив,taiga
отразятся в законодательстве,отразятся,в,законодательстве,loct,законодательство,sing,NOUN,отразиться,VERB,сурсив,taiga
места в Совете Федерации РФ,места,в,Совете,loct,совет,sing,NOUN,место,NOUN,локатив,taiga
в воздушном пространстве зафиксировано,зафиксировано,в,пространстве,loct,пространство,sing,NOUN,зафиксировать,PRTS,локатив,taiga
в экономике России началась,началась,в,экономике,loct,экономика,sing,NOUN,начаться,VERB,тематив,taiga
рассматриваться в процедуре банкротства,рассматриваться,в,процедуре,loct,процедура,sing,NOUN,рассматриваться,INFN,тематив,taiga
места в магистратуре,места,в,магистратуре,loct,магистратура,sing,NOUN,место,NOUN,локатив,taiga
отметили в пресс-службе компании,отметили,в,пресс-службе,loct,пресс-служба,sing,NOUN,отметить,VERB,сурсив,taiga
созданным в YEAR году,созданным,в,году,loct,год,sing,NOUN,создать,PRTF,темпоратив,taiga
подозревают в неуважении,подозревают,в,неуважении,loct,неуважение,sing,NOUN,подозревать,VERB,тематив,taiga
во дворах залита,залита,в,дворах,loct,двор,plur,NOUN,залить,PRTS,локатив,taiga
в котором освещается,освещается,в,котором,loct,который,sing,ADJF,освещаться,VERB,сурсив,taiga
во всем мире работают,работают,в,мире,loct,мир,sing,NOUN,работать,VERB,локатив,taiga
в доме обрушились,обрушились,в,доме,loct,дом,sing,NOUN,обрушиться,VERB,локатив,taiga
делая в портрете NUM героини,делая,в,портрете,loct,портрет,sing,NOUN,делать,GRND,локатив,taiga
"получал в "" Интере """,получал,в,Интере,loct,интер,sing,NOUN,получать,VERB,локатив,taiga
играла в венах,играла,в,венах,loct,вено,plur,NOUN,играть,VERB,локатив,taiga
в Петербурге работает,работает,в,Петербурге,loct,петербург,sing,NOUN,работать,VERB,локатив,taiga
в YEAR году достигла,достигла,в,году,loct,год,sing,NOUN,достигнуть,VERB,темпоратив,taiga
подрабатывал в разных местах,подрабатывал,в,местах,loct,место,plur,NOUN,подрабатывать,VERB,локатив,taiga
Фермер в Омской области,Фермер,в,области,loct,область,sing,NOUN,фермер,NOUN,локатив,taiga
руководствуются в своей работе,руководствуются,в,работе,loct,работа,sing,NOUN,руководствоваться,VERB,тематив,taiga
составит в этом году,составит,в,году,loct,год,sing,NOUN,составить,VERB,темпоратив,taiga
в городе ( да и во всей стране ) наблюдается,наблюдается,в,городе,loct,город,sing,NOUN,наблюдаться,VERB,локатив,taiga
открытий в петербургских торговых центрах,открытий,в,центрах,loct,центр,plur,NOUN,открытие,NOUN,локатив,taiga
зарегистрирован в Роспатенте,зарегистрирован,в,Роспатенте,loct,роспатент,sing,NOUN,зарегистрировать,PRTS,локатив,taiga
в Минфине заявили,заявили,в,Минфине,loct,минфин,sing,NOUN,заявить,VERB,сурсив,taiga
экспертиз в марте этого года,экспертиз,в,марте,loct,март,sing,NOUN,экспертиза,NOUN,темпоратив,taiga
предъявили в шпионаже обвинения,предъявили,в,шпионаже,loct,шпионаж,sing,NOUN,предъявить,VERB,квалификатив,taiga
в подобных случаях направляет,направляет,в,случаях,loct,случай,plur,NOUN,направлять,VERB,ситуатив,taiga
в YEAR году установили,установили,в,году,loct,год,sing,NOUN,установить,VERB,темпоратив,taiga
Установка в Норильске,Установка,в,Норильске,loct,норильск,sing,NOUN,установка,NOUN,локатив,taiga
проигрывали в Петербурге,проигрывали,в,Петербурге,loct,петербург,sing,NOUN,проигрывать,VERB,локатив,taiga
проживает в другом районе,проживает,в,районе,loct,район,sing,NOUN,проживать,VERB,локатив,taiga
предотвратить в ней,предотвратить,в,ней,loct,она,sing,NPRO,предотвратить,INFN,тематив,taiga
убил в центре,убил,в,центре,loct,центр,sing,NOUN,убить,VERB,локатив,taiga
в офисе на улице Фридриха Энгельса заключал,заключал,в,офисе,loct,офис,sing,NOUN,заключать,VERB,локатив,taiga
Передумали в Смольном,Передумали,в,Смольном,loct,смольный,sing,ADJF,передумать,VERB,локатив,taiga
поделился в другом ведомстве,поделился,в,ведомстве,loct,ведомство,sing,NOUN,поделиться,VERB,сурсив,taiga
вертолета во всех режимах полета,вертолета,в,режимах,loct,режим,plur,NOUN,вертолёт,NOUN,ситуатив,taiga
говорится в докладе международной неправительственной организации Transparency International,говорится,в,докладе,loct,доклад,sing,NOUN,говориться,VERB,сурсив,taiga
разбитый в городе,разбитый,в,городе,loct,город,sing,NOUN,разбитый,ADJF,локатив,taiga
передачи в стране,передачи,в,стране,loct,страна,sing,NOUN,передача,NOUN,локатив,taiga
провела в колониях,провела,в,колониях,loct,колония,plur,NOUN,провести,VERB,локатив,taiga
