phrase,host,prep,dependant,dependant_case,dependant_lemma,dependant_num,dependant_pos,host_lemma,host_pos,label,,,,
спасти из «концлагеря,спасти,из,концлагеря,gent,концлагерь,sing,NOUN,спасти,INFN,трансгрессив,,,,
одну из московских строительных компаний,одну,из,компаний,gent,компания,plur,NOUN,один,ADJF,квантитатив,,,,
водолазы из Москвы и Новосибирска,водолазы,из,Москвы,gent,москва,sing,NOUN,водолаз,NOUN,квалификатив,,,,
выдворяли из России,выдворяли,из,России,gent,россия,sing,NOUN,выдворять,VERB,директив,,,,
выстрел из пушки,выстрел,из,пушки,gent,пушка,sing,NOUN,выстрел,NOUN,инструментив,,,,
исключил из Сбербанка,исключил,из,Сбербанка,gent,сбербанк,sing,NOUN,исключить,VERB,директив,,,,
из нескольких сотен тысяч выданных в России кредитов NUM % окажутся,окажутся,из,сотен,gent,сотня,plur,NOUN,оказаться,VERB,квантитатив,,,,
Рейс из Барселоны,Рейс,из,Барселоны,gent,барселона,sing,NOUN,рейс,NOUN,директив,,,,
выбраться из села,выбраться,из,села,gent,село,sing,NOUN,выбраться,INFN,трансгрессив,,,,
эвакуированы из опасных районов,эвакуированы,из,районов,gent,район,plur,NOUN,эвакуировать,PRTS,трансгрессив,,,,
двое из них,двое,из,них,gent,они,plur,NPRO,двое,NUMR,квантитатив,,,,
сделал из Университетского колледжа в Лондоне,сделал,из,колледжа,gent,колледж,sing,NOUN,сделать,VERB,квалификатив,,,,
священников из архиепархии Чикаго,священников,из,архиепархии,gent,архиепархия,sing,NOUN,священник,NOUN,квалификатив,,,,
перевозил из Техаса,перевозил,из,Техаса,gent,техас,sing,NOUN,перевозить,VERB,директив,,,,
уволить из Вооруженных сил,уволить,из,сил,gent,сила,plur,NOUN,уволить,INFN,директив,,,,
из своего пакета слышал,слышал,из,пакета,gent,пакет,sing,NOUN,слышать,VERB,сурсив,,,,
выламывали из стен куски штукатурки,выламывали,из,стен,gent,стена,plur,NOUN,выламывать,VERB,директив,,,,
рублей из кошелька друга,рублей,из,кошелька,gent,кошелёк,sing,NOUN,рубль,NOUN,директив,,,,
выезжает из России,выезжает,из,России,gent,россия,sing,NOUN,выезжать,VERB,директив,,,,
Некоторые из них,Некоторые,из,них,gent,они,plur,NPRO,некоторый,ADJF,квалификатив,,,,
состоящих из курсанток институтов МВД и МЧС,состоящих,из,курсанток,gent,курсантка,plur,NOUN,состоять,PRTF,квалификатив,,,,
"выплачиваться "" из кассы """,выплачиваться,из,кассы,gent,касса,sing,NOUN,выплачиваться,INFN,директив,,,,
четверо из NUM обвиняемых,четверо,из,обвиняемых,gent,обвинять,plur,PRTF,четверо,NUMR,квантитатив,,,,
"один из организаторов движения "" Русская пробежка """,один,из,организаторов,gent,организатор,plur,NOUN,один,ADJF,квантитатив,,,,
Президент из Софии,Президент,из,Софии,gent,софия,sing,NOUN,президент,NOUN,квалификатив,,,,
одним из главных признаков надвигающегося конца света,одним,из,признаков,gent,признак,plur,NOUN,один,ADJF,квантитатив,,,,
вызвать из сотрудников Росгвардии,вызвать,из,сотрудников,gent,сотрудник,plur,NOUN,вызвать,INFN,квалификатив,,,,
освободил из концлагеря ? »,освободил,из,концлагеря,gent,концлагерь,sing,NOUN,освободить,VERB,трансгрессив,,,,
дуэт из любой оперы в сопровождении оркестра,дуэт,из,оперы,gent,опера,sing,NOUN,дуэт,NOUN,сурсив,,,,
отток из страны,отток,из,страны,gent,страна,sing,NOUN,отток,NOUN,директив,,,,
один из участников,один,из,участников,gent,участник,plur,NOUN,один,ADJF,квантитатив,,,,
чиновник из жилищно-коммунального блока Смольного,чиновник,из,блока,gent,блок,sing,NOUN,чиновник,NOUN,квалификатив,,,,
уезжать из Одессы,уезжать,из,Одессы,gent,одесса,sing,NOUN,уезжать,INFN,директив,,,,
стал один из местных,стал,из,местных,gent,местный,plur,ADJF,стать,VERB,квалификатив,,,,
раздалось из кармана мужчины,раздалось,из,кармана,gent,карман,sing,NOUN,раздаться,VERB,директив,,,,
выходца из Таджикистана,выходца,из,Таджикистана,gent,таджикистан,sing,NOUN,выходец,NOUN,квалификатив,,,,
одного из осужденных,одного,из,осужденных,gent,осудить,plur,PRTF,один,ADJF,квантитатив,,,,
Анну из Грузии,Анну,из,Грузии,gent,грузия,sing,NOUN,анна,NOUN,квалификатив,,,,
одной из функций национальных библиотек,одной,из,функций,gent,функция,plur,NOUN,один,ADJF,квантитатив,,,,
перебрался из неё на пост тренера дублирующего состава,перебрался,из,тренера,gent,тренер,sing,NOUN,перебраться,VERB,директив,,,,
один из ведущих мировых энергетических перевозчиков,один,из,перевозчиков,gent,перевозчик,plur,NOUN,один,ADJF,квалификатив,,,,
исключить из списка объектов всемирного культурного наследия,исключить,из,списка,gent,список,sing,NOUN,исключить,INFN,директив,,,,
выписали из больницы,выписали,из,больницы,gent,больница,sing,NOUN,выписать,VERB,директив,,,,
угнал из гаража,угнал,из,гаража,gent,гараж,sing,NOUN,угнать,VERB,директив,,,,
один из лидеров Майдана,один,из,лидеров,gent,лидер,plur,NOUN,один,ADJF,квалификатив,,,,
исключается из трассы движения автобусного маршрута № NUM,исключается,из,трассы,gent,трасса,sing,NOUN,исключаться,VERB,директив,,,,
дети из детских домов,дети,из,домов,gent,дом,plur,NOUN,ребёнок,NOUN,квалификатив,,,,
многие из которых,многие,из,которых,gent,который,plur,ADJF,многие,NPRO,квантитатив,,,,
Некоторые из них,Некоторые,из,них,gent,они,plur,NPRO,некоторый,ADJF,квантитатив,,,,
Большинство из них,Большинство,из,них,gent,они,plur,NPRO,большинство,NOUN,квантитатив,,,,
вышли из магазина,вышли,из,магазина,gent,магазин,sing,NOUN,выйти,VERB,директив,,,,
из них километров,километров,из,них,gent,они,plur,NPRO,километр,NOUN,директив,,,,
следовавший из Москвы,следовавший,из,Москвы,gent,москва,sing,NOUN,следовать,PRTF,директив,,,,
приехавшие из Киева,приехавшие,из,Киева,gent,киев,sing,NOUN,приехать,PRTF,директив,,,,
предприятие из всех существующих в империи Пригожина,предприятие,из,Пригожина,gent,пригожин,sing,NOUN,предприятие,NOUN,квантитатив,,,,
одно из крупнейших в мире предприятий,одно,из,предприятий,gent,предприятие,plur,NOUN,один,ADJF,квантитатив,,,,
изъяли из Средней Азии,изъяли,из,Азии,gent,азия,sing,NOUN,изъять,VERB,директив,,,,
эксперта из Германии,эксперта,из,Германии,gent,германия,sing,NOUN,эксперт,NOUN,квалификатив,,,,
повестку из прокуратуры,повестку,из,прокуратуры,gent,прокуратура,sing,NOUN,повестка,NOUN,директив,,,,
Один из россиян,Один,из,россиян,gent,россиянин,plur,NOUN,один,ADJF,квантитатив,,,,
Нейробиологи из Сассекского университета,Нейробиологи,из,университета,gent,университет,sing,NOUN,нейробиолог,NOUN,квалификатив,,,,
вывезти из Москвы,вывезти,из,Москвы,gent,москва,sing,NOUN,вывезти,INFN,директив,,,,
один из лидеров фанатского движения «Зенита»,один,из,лидеров,gent,лидер,plur,NOUN,один,ADJF,квалификатив,,,,
выписан из больницы к понедельнику,выписан,из,больницы,gent,больница,sing,NOUN,выписать,PRTS,директив,,,,
убит из огнестрельного оружия,убит,из,оружия,gent,оружие,sing,NOUN,убитый,ADJS,инструментив,,,,
Часть из них,Часть,из,них,gent,они,plur,NPRO,часть,NOUN,квалификатив,,,,
одного из таких обменников,одного,из,обменников,gent,обменник,plur,NOUN,один,ADJF,квалификатив,,,,
Повстанцы из Свободной армии Сирии во вторник,Повстанцы,из,армии,gent,армия,sing,NOUN,повстанец,NOUN,квалификатив,,,,
женщина из управляющей компании,женщина,из,компании,gent,компания,sing,NOUN,женщина,NOUN,квалификатив,,,,
некоторые из них,некоторые,из,них,gent,они,plur,NPRO,некоторый,ADJF,квантитатив,,,,
Агнешку из Польши,Агнешку,из,Польши,gent,польша,sing,NOUN,агнешка,NOUN,квалификатив,,,,
один из его представителей,один,из,представителей,gent,представитель,plur,NOUN,один,ADJF,квалификатив,,,,
из зала суда Кривова выводили,выводили,из,зала,gent,зал,sing,NOUN,выводить,VERB,директив,,,,
вытеснены из региона,вытеснены,из,региона,gent,регион,sing,NOUN,вытеснить,PRTS,директив,,,,
встретится из Сербии,встретится,из,Сербии,gent,сербия,sing,NOUN,встретиться,VERB,директив,,,,
вывезены из Сирии,вывезены,из,Сирии,gent,сирия,sing,NOUN,вывезти,PRTS,директив,,,,
одним из крупных местных бизнесменов,одним,из,бизнесменов,gent,бизнесмен,plur,NOUN,один,ADJF,квалификатив,,,,
вырывал из земли,вырывал,из,земли,gent,земля,sing,NOUN,вырывать,VERB,директив,,,,
уехал из офиса,уехал,из,офиса,gent,офис,sing,NOUN,уехать,VERB,директив,,,,
Один из полицейских,Один,из,полицейских,gent,полицейский,plur,ADJF,один,ADJF,квалификатив,,,,
стейк из мраморной говядины с кукурузной полентой и соусом из портвейна . .,стейк,из,говядины,gent,говядина,sing,NOUN,стейк,NOUN,квалификатив,,,,
Евгения из юридической компании Rightmark group,Евгения,из,компании,gent,компания,sing,NOUN,евгений,NOUN,квалификатив,,,,
вывезти из зоны карантина,вывезти,из,зоны,gent,зона,sing,NOUN,вывезти,INFN,директив,,,,
продукции из обычного сырья,продукции,из,сырья,gent,сырьё,sing,NOUN,продукция,NOUN,квалификатив,,,,
выпала из окна,выпала,из,окна,gent,окно,sing,NOUN,выпасть,VERB,директив,,,,
исключили из партии,исключили,из,партии,gent,партия,sing,NOUN,исключить,VERB,директив,,,,
полицейский из Нефтеюганска,полицейский,из,Нефтеюганска,gent,нефтеюганск,sing,NOUN,полицейский,NOUN,квалификатив,,,,
продукции из натуральных материалов в национальных традициях индийского колорита,продукции,из,материалов,gent,материал,plur,NOUN,продукция,NOUN,квалификатив,,,,
"одну из "" самых масштабных российских постановок последних лет """,одну,из,постановок,gent,постановка,plur,NOUN,один,ADJF,квалификатив,,,,
содержит из моих писем,содержит,из,писем,gent,письмо,plur,NOUN,содержимый,VERB,сурсив,,,,
овощей из Евросоюза,овощей,из,Евросоюза,gent,евросоюз,sing,NOUN,овощ,NOUN,квалификатив,,,,
образовался из песчанистого грунта,образовался,из,грунта,gent,грунт,sing,NOUN,образоваться,VERB,квалификатив,,,,
осуществляется из бюджета Петербурга,осуществляется,из,бюджета,gent,бюджет,sing,NOUN,осуществляться,VERB,сурсив,,,,
ушел из дома,ушел,из,дома,gent,дом,sing,NOUN,уйти,VERB,директив,,,,
из них проживают,проживают,из,них,gent,они,plur,NPRO,проживать,VERB,квалификатив,,,,
из бюджета Петербурга на доплаты классным руководителям выделяется,выделяется,из,бюджета,gent,бюджет,sing,NOUN,выделяться,VERB,сурсив,,,,
вышла из дома,вышла,из,дома,gent,дом,sing,NOUN,выйти,VERB,директив,,,,
выбраться из квартиры,выбраться,из,квартиры,gent,квартира,sing,NOUN,выбраться,INFN,директив,,,,
семь из которых,семь,из,которых,gent,который,plur,ADJF,семь,NUMR,квантитатив,,,,
один из граждан,один,из,граждан,gent,гражданин,plur,NOUN,один,ADJF,квалификатив,,,,
из португальской столицы в Санкт-Петербург вылетели,вылетели,из,столицы,gent,столица,sing,NOUN,вылететь,VERB,директив,,,,
каждая из которых,каждая,из,которых,gent,который,plur,ADJF,каждый,ADJF,квалификатив,,,,
"человек из батальонов министерства внутренних дел Украины "" Миротворец """,человек,из,батальонов,gent,батальон,plur,NOUN,человек,NOUN,квалификатив,,,,
никто из руководства Большого театра,никто,из,руководства,gent,руководство,sing,NOUN,никто,NPRO,квалификатив,,,,
из крупнейших топливных операторов завершил,завершил,из,операторов,accs,оператор,plur,NOUN,завершить,VERB,квалификатив,,,,
из операторов вызывали,вызывали,из,операторов,accs,оператор,plur,NOUN,вызывать,VERB,квалификатив,,,,
Прибывшая из Индии,Прибывшая,из,Индии,datv,индия,sing,NOUN,прибыть,PRTF,директив,,,,
Фаворит из Болгарии,Фаворит,из,Болгарии,loct,болгария,sing,NOUN,фаворит,NOUN,квалификатив,,,,
одного из членов группы рейдеров,одного,из,членов,accs,член,plur,NOUN,один,ADJF,квалификатив,,,,
из которой производят,производят,из,которой,loct,который,sing,ADJF,производить,VERB,квалификатив,,,,
один из наиболее часто рассказываемых жителям Северной столицы,один,из,жителям,datv,житель,plur,NOUN,один,ADJF,квалификатив,,,,
из которой следует,следует,из,которой,loct,который,sing,ADJF,следовать,VERB,квалификатив,,,,
выбежали из очереди,выбежали,из,очереди,datv,очередь,sing,NOUN,выбежать,VERB,директив,,,,
нарядов из рядом расположенного отдела .,нарядов,из,рядом,ablt,ряд,sing,NOUN,наряд,NOUN,квалификатив,,,,
бежали из Ливии,бежали,из,Ливии,loct,ливия,sing,NOUN,бежать,VERB,директив,,,,
двигалась из Майами в Массачусетс,двигалась,из,Майами,loct,майами,sing,NOUN,двигаться,VERB,директив,,,,
делается из любви,делается,из,любви,loct,любовь,sing,NOUN,делаться,VERB,каузатив,,,,
болельщиков из Ленобласти,болельщиков,из,Ленобласти,datv,ленобласть,sing,NOUN,болельщик,NOUN,квалификатив,,,,
хватит у российских судей мудрости и храбрости,хватит,у,судей,gent,судья,plur,NOUN,хватить,VERB,комитатив,,,,
происходила у единственного поставщика,происходила,у,поставщика,gent,поставщик,sing,NOUN,происходить,VERB,комитатив,,,,
случай у футбольных фанатов,случай,у,фанатов,gent,фанат,plur,NOUN,случай,NOUN,комитатив,,,,
у них имеется,имеется,у,них,gent,они,plur,NPRO,иметься,VERB,комитатив,,,,
у некоторых людей может,может,у,людей,gent,человек,plur,NOUN,мочь,VERB,комитатив,,,,
у правительства есть,есть,у,правительства,gent,правительство,sing,NOUN,есть,INTJ,комитатив,,,,
у нас было,было,у,нас,gent,мы,plur,NPRO,быть,VERB,комитатив,,,,
претензий у прокуратуры,претензий,у,прокуратуры,gent,прокуратура,sing,NOUN,претензия,NOUN,комитатив,,,,
у них запланирована,запланирована,у,них,gent,они,plur,NPRO,запланировать,PRTS,комитатив,,,,
уважение у соотечественников,уважение,у,соотечественников,gent,соотечественник,plur,NOUN,уважение,NOUN,комитатив,,,,
задержания у Гостиного двора,задержания,у,двора,gent,двор,sing,NOUN,задержание,NOUN,локатив,,,,
отсутствием у животного документов,отсутствием,у,документов,gent,документ,plur,NOUN,отсутствие,NOUN,комитатив,,,,
вызвал ни у жителей,вызвал,у,жителей,gent,житель,plur,NOUN,вызвать,VERB,сурсив,,,,
у каждой парковки должны,должны,у,парковки,gent,парковка,sing,NOUN,должный,ADJS,локатив,,,,
пройдет у центрального входа в СКК,пройдет,у,входа,gent,вход,sing,NOUN,пройти,VERB,локатив,,,,
угнанный у петербургского инспектора ГИБДД,угнанный,у,инспектора,gent,инспектор,sing,NOUN,угнать,PRTF,сурсив,,,,
произошла у дома № NUM,произошла,у,дома,gent,дом,sing,NOUN,произойти,VERB,локатив,,,,
у самолета Л- отказала,отказала,у,самолета,gent,самолёт,sing,NOUN,отказать,VERB,комитатив,,,,
счет были у Овечкина и Морозова,счет,у,Овечкина,gent,овечкин,sing,NOUN,счёт,NOUN,комитатив,,,,
проходят у многих наших товарищей,проходят,у,товарищей,gent,товарищ,plur,NOUN,проходить,VERB,локатив,,,,
у них каталоге,каталоге,у,них,gent,они,plur,NPRO,каталог,NOUN,сурсив,,,,
заказали у американской компании Lockheed Martin,заказали,у,компании,gent,компания,sing,NOUN,заказать,VERB,сурсив,,,,
у них есть,есть,у,них,gent,они,plur,NPRO,есть,INTJ,комитатив,,,,
у россиян стали,стали,у,россиян,gent,россиянин,plur,NOUN,стать,VERB,комитатив,,,,
у многих гейш нет,нет,у,гейш,gent,гейша,plur,NOUN,нет,PRED,комитатив,,,,
у них были,были,у,них,gent,они,plur,NPRO,быть,VERB,комитатив,,,,
у россиян поубавилось,поубавилось,у,россиян,gent,россиянин,plur,NOUN,поубавиться,VERB,комитатив,,,,
произойдет у наших географических соседей,произойдет,у,соседей,gent,сосед,plur,NOUN,произойти,VERB,локатив,,,,
перехватила у оппозиции,перехватила,у,оппозиции,gent,оппозиция,sing,NOUN,перехватить,VERB,сурсив,,,,
у них были,были,у,них,gent,они,plur,NPRO,быть,VERB,комитатив,,,,
у которого пробило,пробило,у,которого,gent,который,sing,ADJF,пробить,VERB,комитатив,,,,
отобрали у него,отобрали,у,него,gent,он,sing,NPRO,отобрать,VERB,сурсив,,,,
у жителей Молдовы дней,дней,у,жителей,gent,житель,plur,NOUN,день,NOUN,комитатив,,,,
появится у всех,появится,у,всех,gent,весь,plur,ADJF,появиться,VERB,комитатив,,,,
работы у обеих лиг,работы,у,лиг,gent,лига,plur,NOUN,работа,NOUN,комитатив,,,,
у сотрудников ГУЖА взгляд,взгляд,у,сотрудников,gent,сотрудник,plur,NOUN,взгляд,NOUN,комитатив,,,,
взаимопонимание у чиновников,взаимопонимание,у,чиновников,gent,чиновник,plur,NOUN,взаимопонимание,NOUN,комитатив,,,,
узнать у комиссии,узнать,у,комиссии,gent,комиссия,sing,NOUN,узнать,INFN,сурсив,,,,
у него действует,действует,у,него,gent,он,sing,NPRO,действовать,VERB,локатив,,,,
нашли у «Партии,нашли,у,Партии,gent,партия,sing,NOUN,найти,VERB,сурсив,,,,
у них нет,нет,у,них,gent,они,plur,NPRO,нет,PRED,сурсив,,,,
понимания у жителей района,понимания,у,жителей,gent,житель,plur,NOUN,понимание,NOUN,комитатив,,,,
изъяла у великолучанина,изъяла,у,великолучанина,gent,великолучанин,sing,NOUN,изъять,VERB,сурсив,,,,
у него было,было,у,него,gent,он,sing,NPRO,быть,VERB,сурсив,,,,
какой у них,какой,у,них,gent,они,plur,NPRO,какой,ADJF,комитатив,,,,
гостях у Зариповых,гостях,у,Зариповых,gent,зарипов,plur,NOUN,гость,NOUN,локатив,,,,
у властей мало,мало,у,властей,gent,власть,plur,NOUN,мало,ADVB,комитатив,,,,
подвергся прямо у здания бизнес - центра «Треугольник» на Обводном канале,подвергся,у,здания,gent,здание,sing,NOUN,подвергнуться,VERB,локатив,,,,
у неё обнаружено,обнаружено,у,неё,gent,она,sing,NPRO,обнаружить,PRTS,комитатив,,,,
просят у регулятора,просят,у,регулятора,gent,регулятор,sing,NOUN,просить,VERB,сурсив,,,,
произошел у квартиры дома,произошел,у,квартиры,gent,квартира,sing,NOUN,произойти,VERB,локатив,,,,
подозреваемых у хозяйки автомобиля,подозреваемых,у,хозяйки,gent,хозяйка,sing,NOUN,подозревать,PRTF,комитатив,,,,
застрелены у дома,застрелены,у,дома,gent,дом,sing,NOUN,застрелить,PRTS,локатив,,,,
назначалась у Лакшиной,назначалась,у,Лакшиной,gent,лакшин,sing,NOUN,назначаться,VERB,локатив,,,,
работала у него,работала,у,него,gent,он,sing,NPRO,работать,VERB,локатив,,,,
застрелен у своего загородного дома во Всеволожске,застрелен,у,дома,gent,дом,sing,NOUN,застрелить,PRTS,локатив,,,,
у него есть,есть,у,него,gent,он,sing,NPRO,есть,INTJ,комитатив,,,,
у них Хеллоуин,Хеллоуин,у,них,gent,они,plur,NPRO,хеллоуин,NOUN,комитатив,,,,
забрав у него,забрав,у,него,gent,он,sing,NPRO,забрать,GRND,сурсив,,,,
припаркованной у дома № NUM по улице Коваленко,припаркованной,у,дома,gent,дом,sing,NOUN,припарковать,PRTF,локатив,,,,
у Януковича были,были,у,Януковича,gent,янукович,sing,NOUN,быть,VERB,сурсив,,,,
«Право у граждан,Право,у,граждан,gent,гражданин,plur,NOUN,право,NOUN,комитатив,,,,
затребовать у руководства,затребовать,у,руководства,gent,руководство,sing,NOUN,затребовать,INFN,сурсив,,,,
у суда зал,зал,у,суда,gent,суд,sing,NOUN,зал,NOUN,комитатив,,,,
у одного из них обнаружены,обнаружены,у,одного,gent,один,sing,ADJF,обнаружить,PRTS,сурсив,,,,
проверку у NUM пикета NUM км железнодорожной станции Ручьи,проверку,у,пикета,gent,пикет,sing,NOUN,проверка,NOUN,локатив,,,,
просит у Швейцарии,просит,у,Швейцарии,gent,швейцария,sing,NOUN,просить,VERB,сурсив,,,,
купил у отставного пилота Фреда Моррисона,купил,у,пилота,gent,пилот,sing,NOUN,купить,VERB,сурсив,,,,
произошло у юго-восточного побережья,произошло,у,побережья,gent,побережье,sing,NOUN,произойти,VERB,локатив,,,,
у идеальных белков зависит,зависит,у,белков,gent,белок,plur,NOUN,зависеть,VERB,комитатив,,,,
проведения у здания ЦИК в центре города,проведения,у,здания,gent,здание,sing,NOUN,проведение,NOUN,локатив,,,,
у них было,было,у,них,gent,они,plur,NPRO,быть,VERB,сурсив,,,,
у ЦСКА больше,больше,у,ЦСКА,gent,цска,sing,NOUN,большой,COMP,комитатив,,,,
у киевских властей есть,есть,у,властей,gent,власть,plur,NOUN,есть,INTJ,комитатив,,,,
отобрать у слабых участников,отобрать,у,участников,gent,участник,plur,NOUN,отобрать,INFN,сурсив,,,,
у транспортного средства оторвало,оторвало,у,средства,gent,средство,sing,NOUN,оторвать,VERB,сурсив,,,,
нашли у дома NUM,нашли,у,дома,gent,дом,sing,NOUN,найти,VERB,локатив,,,,
сыграет у памятника Абаю Кунанбаеву,сыграет,у,памятника,gent,памятник,sing,NOUN,сыграть,VERB,локатив,,,,
произошел у дома,произошел,у,дома,gent,дом,sing,NOUN,произойти,VERB,локатив,,,,
мотивы у горбачёвской гласности,мотивы,у,гласности,gent,гласность,sing,NOUN,мотив,NOUN,комитатив,,,,
возник у следователей,возник,у,следователей,gent,следователь,plur,NOUN,возникнуть,VERB,сурсив,,,,
у владельца появится,появится,у,владельца,gent,владелец,sing,NOUN,появиться,VERB,комитатив,,,,
не у всех отельеров дела шли,шли,у,отельеров,gent,отельер,plur,NOUN,идти,VERB,комитатив,,,,
у партии будет,будет,у,партии,gent,партия,sing,NOUN,быть,VERB,комитатив,,,,
забирали у напуганных продавцов,забирали,у,продавцов,gent,продавец,plur,NOUN,забирать,VERB,сурсив,,,,
должно быть у текущих акционеров компании,должно,у,акционеров,gent,акционер,plur,NOUN,должный,ADJS,комитатив,,,,
балансе у Дирекции по содержанию общежитий Санкт-Петербурга,балансе,у,Дирекции,gent,дирекция,sing,NOUN,баланс,NOUN,сурсив,,,,
дела у семейства,дела,у,семейства,gent,семейство,sing,NOUN,дело,NOUN,комитатив,,,,
запросил у диспетчеров,запросил,у,диспетчеров,gent,диспетчер,plur,NOUN,запросить,VERB,сурсив,,,,
у него давно,давно,у,него,gent,он,sing,NPRO,давно,ADVB,комитатив,,,,
у водителя обнаружен,обнаружен,у,водителя,gent,водитель,sing,NOUN,обнаружить,PRTS,локатив,,,,
раскрыла у пассажира,раскрыла,у,пассажира,gent,пассажир,sing,NOUN,раскрыть,VERB,локатив,,,,
у нас с вами есть,есть,у,нас,gent,мы,plur,NPRO,есть,INTJ,комитатив,,,,
у нас планах,планах,у,нас,gent,мы,plur,NPRO,план,NOUN,комитатив,,,,
храниться у них,храниться,у,них,gent,они,plur,NPRO,храниться,INFN,локатив,,,,
у компании со счетов снимались,снимались,у,компании,gent,компания,sing,NOUN,сниматься,VERB,сурсив,,,,
встали у самого края набережной,встали,у,края,gent,край,sing,NOUN,встать,VERB,локатив,,,,
у них с супругой появится,появится,у,них,gent,они,plur,NPRO,появиться,VERB,сурсив,,,,
у пакетных предложений бОльшим,бОльшим,у,предложений,gent,предложение,plur,NOUN,больший,ADJF,комитатив,,,,
у них нет,нет,у,них,gent,они,plur,NPRO,нет,PRED,сурсив,,,,
у него произошёл,произошёл,у,него,gent,он,sing,NPRO,произойти,VERB,комитатив,,,,
отнял у него,отнял,у,него,gent,он,sing,NPRO,отнять,VERB,сурсив,,,,
стынет у любого порядочного человека,стынет,у,человека,gent,человек,sing,NOUN,стынуть,VERB,комитатив,,,,
успешной и у России,успешной,у,России,gent,россия,sing,NOUN,успешный,ADJF,комитатив,,,,
у беременных привыкли,привыкли,у,беременных,gent,беременный,plur,ADJF,привыкнуть,VERB,комитатив,,,,
наличие у школьницы,наличие,у,школьницы,gent,школьница,sing,NOUN,наличие,NOUN,комитатив,,,,
у комитета нет,нет,у,комитета,gent,комитет,sing,NOUN,нет,PRED,комитатив,,,,
требования у покупателей очень жесткие»,требования,у,покупателей,gent,покупатель,plur,NOUN,требование,NOUN,комитатив,,,,
установлен у входа,установлен,у,входа,gent,вход,sing,NOUN,установленный,ADJS,локатив,,,,
у больных появляются,появляются,у,больных,gent,больной,plur,ADJF,появляться,VERB,комитатив,,,,
Похищенное у задержанного изъято,Похищенное,у,задержанного,gent,задержать,sing,PRTF,похитить,PRTF,сурсив,,,,
у Финляндского вокзала является,является,у,вокзала,gent,вокзал,sing,NOUN,являться,VERB,локатив,,,,
у детей будет,будет,у,детей,gent,ребёнок,plur,NOUN,быть,VERB,комитатив,,,,
озабоченность у Ассоциации офицеров Дании ( HOD ),озабоченность,у,Ассоциации,gent,ассоциация,sing,NOUN,озабоченность,NOUN,комитатив,,,,
рыдают у памятников бывшему лидеру и практически бьются о землю,рыдают,у,памятников,gent,памятник,plur,NOUN,рыдать,VERB,локатив,,,,
попытки у зданий посольств Израиля в Грузии и Индии,попытки,у,зданий,gent,здание,plur,NOUN,попытка,NOUN,локатив,,,,
у них диагностировано,диагностировано,у,них,gent,они,plur,NPRO,диагностировать,PRTS,комитатив,,,,
у них «нет,нет,у,них,gent,они,plur,NPRO,нуть,VERB,сурсив,,,,
у него будет,будет,у,него,gent,он,sing,NPRO,быть,VERB,сурсив,,,,
у итальянца заканчивается,заканчивается,у,итальянца,gent,итальянец,sing,NOUN,заканчиваться,VERB,комитатив,,,,
стоял у истоков,стоял,у,истоков,gent,исток,plur,NOUN,стоялый,ADJS,локатив,,,,
у нас шла,шла,у,нас,gent,мы,plur,NPRO,идти,VERB,комитатив,,,,
долги у обрабатывающих производств,долги,у,производств,gent,производство,plur,NOUN,долг,NOUN,комитатив,,,,
у большинства из этих детей требует,требует,у,большинства,gent,большинство,sing,NOUN,требовать,VERB,комитатив,,,,
бои у Николаевки и Ямполя,бои,у,Николаевки,gent,николаевка,sing,NOUN,бой,NOUN,локатив,,,,
у Сергея Фалетенка обнаружен,обнаружен,у,Сергея,gent,сергей,sing,NOUN,обнаружить,PRTS,комитатив,,,,
у аборигенов выпросил,выпросил,у,аборигенов,gent,абориген,plur,NOUN,выпросить,VERB,сурсив,,,,
у мэрии и заявителей есть,есть,у,мэрии,gent,мэрия,sing,NOUN,есть,INTJ,комитатив,,,,
пользующиеся у публики и критики,пользующиеся,у,публики,gent,публика,sing,NOUN,пользоваться,PRTF,сурсив,,,,
вечно у власти,вечно,у,власти,gent,власть,sing,NOUN,вечно,ADVB,локатив,,,,
принимали у иностранцев паспорта,принимали,у,иностранцев,gent,иностранец,plur,NOUN,принимать,VERB,сурсив,,,,
нет ни у Петербурга,нет,у,Петербурга,gent,петербург,sing,NOUN,нет,PRED,сурсив,,,,
у нас проблемы,проблемы,у,нас,gent,мы,plur,NPRO,проблема,NOUN,комитатив,,,,
у которого закончились,закончились,у,которого,gent,который,sing,ADJF,закончиться,VERB,комитатив,,,,
узнать у сотрудников,узнать,у,сотрудников,gent,сотрудник,plur,NOUN,узнать,INFN,сурсив,,,,
требовать у инкассаторов,требовать,у,инкассаторов,gent,инкассатор,plur,NOUN,требовать,INFN,сурсив,,,,
у нас было,было,у,нас,gent,мы,plur,NPRO,быть,VERB,комитатив,,,,
похитил у пожилого человека,похитил,у,человека,gent,человек,sing,NOUN,похитить,VERB,сурсив,,,,
изъяли у двух безработных,изъяли,у,безработных,gent,безработный,plur,ADJF,изъять,VERB,сурсив,,,,
у страны будут,будут,у,страны,gent,страна,sing,NOUN,быть,VERB,сурсив,,,,
отсудил у дорожников Мариинска,отсудил,у,дорожников,gent,дорожник,plur,NOUN,отсудить,VERB,сурсив,,,,
у трекера регистрация,регистрация,у,трекера,gent,трекер,sing,NOUN,регистрация,NOUN,комитатив,,,,
