prep_1,case_1,prep_2,case_2,label
с краю,род,посреди,род,локатив
сбоку от,род,посреди,род,локатив
снаружи,род,посреди,род,локатив
сбоку,род,посредине,род,локатив
снаружи,род,посредине,род,локатив
с внешней стороны,род,посредине,род,локатив
скраю,род,посредине,род,локатив
с краю,род,посредине,род,локатив
спустя,вин,преж,род,темпоратив
спустя,вин,прежде,род,темпоратив
противно,дат,при помощи,род,
противу,род,при помощи,род,
против,род,при помощи,род,
противно,дат,при посредстве,род,
против,род,при посредстве,род,
противу,род,при посредстве,род,
снизу,род,сбоку,род,локатив
сверх,род,сбоку,род,локатив
сверху,род,сбоку,род,локатив
снизу,род,сверх,род,локатив
снизу,род,сверху,род,локатив
справа от,род,слева от,род,локатив
среди,род,снаружи,род,локатив
